id,slug,name,price,mrp,priceType,sourceUrl,notes
"p001","coca-cola-750ml","Coca-Cola Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p002","coca-cola-can-300ml","Coca-Cola Can","40","40","editable_beta_price","","Needs live MRP verification before production launch"
"p003","thums-up-750ml","Thums Up Strong Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p004","thums-up-can-300ml","Thums Up Can","40","40","editable_beta_price","","Needs live MRP verification before production launch"
"p005","sprite-750ml","Sprite Lime Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/sprite","Needs live MRP verification before production launch"
"p006","sprite-can-300ml","Sprite Can","40","40","editable_beta_price","https://www.coca-cola.com/in/en/brands/sprite","Needs live MRP verification before production launch"
"p007","limca-750ml","Limca Lemon-Lime Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/limca","Needs live MRP verification before production launch"
"p008","fanta-750ml","Fanta Orange Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/fanta","Needs live MRP verification before production launch"
"p009","maaza-600ml","Maaza Mango Drink","42","42","editable_beta_price","https://www.coca-cola.com/in/en/brands/maaza","Needs live MRP verification before production launch"
"p010","maaza-250ml","Maaza Mango Drink","20","20","editable_beta_price","https://www.coca-cola.com/in/en/brands/maaza","Needs live MRP verification before production launch"
"p011","pepsi-750ml","Pepsi Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p012","pepsi-can-250ml","Pepsi Can","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p013","mountain-dew-750ml","Mountain Dew Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p014","7up-750ml","7UP Lemon Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p015","mirinda-750ml","Mirinda Orange Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p016","sting-energy-250ml","Sting Energy Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p017","red-bull-250ml","Red Bull Energy Drink","125","125","editable_beta_price","","Needs live MRP verification before production launch"
"p018","monster-energy-350ml","Monster Energy Drink","115","115","editable_beta_price","","Needs live MRP verification before production launch"
"p019","paper-boat-aamras-200ml","Paper Boat Aamras","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p020","real-mixed-fruit-1l","Real Mixed Fruit Juice","130","130","editable_beta_price","","Needs live MRP verification before production launch"
"p021","tropicana-orange-1l","Tropicana Orange Delight","130","130","editable_beta_price","","Needs live MRP verification before production launch"
"p022","amul-kool-kesar-180ml","Amul Kool Kesar Flavoured Milk","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p023","amul-kool-cafe-200ml","Amul Kool Cafe Cold Coffee","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p024","coca-cola-250ml","Coca-Cola Soft Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p025","thums-up-250ml","Thums Up Soft Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p026","bisleri-1l","Bisleri Packaged Drinking Water","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p027","bisleri-500ml","Bisleri Packaged Drinking Water","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p028","bisleri-2l","Bisleri Packaged Drinking Water","30","30","editable_beta_price","","Needs live MRP verification before production launch"
