id,slug,name,image,status,notes
"p001","coca-cola-750ml","Coca-Cola Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p002","coca-cola-can-300ml","Coca-Cola Can","","image_needed","No verified local image downloaded; app fallback is used"
"p003","thums-up-750ml","Thums Up Strong Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p004","thums-up-can-300ml","Thums Up Can","","image_needed","No verified local image downloaded; app fallback is used"
"p005","sprite-750ml","Sprite Lime Soft Drink","/products/beverages/sprite-official.png","image_downloaded","Verified local image is available"
"p006","sprite-can-300ml","Sprite Can","/products/beverages/sprite-official.png","image_downloaded","Verified local image is available"
"p007","limca-750ml","Limca Lemon-Lime Soft Drink","/products/beverages/limca-official.jpg","image_downloaded","Verified local image is available"
"p008","fanta-750ml","Fanta Orange Soft Drink","/products/beverages/fanta-official.png","image_downloaded","Verified local image is available"
"p009","maaza-600ml","Maaza Mango Drink","/products/beverages/maaza-official.jpg","image_downloaded","Verified local image is available"
"p010","maaza-250ml","Maaza Mango Drink","/products/beverages/maaza-official.jpg","image_downloaded","Verified local image is available"
"p011","pepsi-750ml","Pepsi Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p012","pepsi-can-250ml","Pepsi Can","","image_needed","No verified local image downloaded; app fallback is used"
"p013","mountain-dew-750ml","Mountain Dew Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p014","7up-750ml","7UP Lemon Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p015","mirinda-750ml","Mirinda Orange Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p016","sting-energy-250ml","Sting Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p017","red-bull-250ml","Red Bull Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p018","monster-energy-350ml","Monster Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p019","paper-boat-aamras-200ml","Paper Boat Aamras","","image_needed","No verified local image downloaded; app fallback is used"
"p020","real-mixed-fruit-1l","Real Mixed Fruit Juice","","image_needed","No verified local image downloaded; app fallback is used"
"p021","tropicana-orange-1l","Tropicana Orange Delight","","image_needed","No verified local image downloaded; app fallback is used"
"p022","amul-kool-kesar-180ml","Amul Kool Kesar Flavoured Milk","","image_needed","No verified local image downloaded; app fallback is used"
"p023","amul-kool-cafe-200ml","Amul Kool Cafe Cold Coffee","","image_needed","No verified local image downloaded; app fallback is used"
"p024","coca-cola-250ml","Coca-Cola Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p025","thums-up-250ml","Thums Up Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p026","bisleri-1l","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p027","bisleri-500ml","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p028","bisleri-2l","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p029","kinley-1l","Kinley Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p030","aquafina-1l","Aquafina Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p031","bisleri-soda-750ml","Bisleri Soda","","image_needed","No verified local image downloaded; app fallback is used"
"p032","kinley-soda-750ml","Kinley Soda","","image_needed","No verified local image downloaded; app fallback is used"
"p033","schweppes-tonic-300ml","Schweppes Tonic Water","","image_needed","No verified local image downloaded; app fallback is used"
"p034","lays-magic-masala-48g","Lay's India's Magic Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p035","lays-classic-salted-48g","Lay's Classic Salted","","image_needed","No verified local image downloaded; app fallback is used"
"p036","lays-american-cream-onion-48g","Lay's American Style Cream & Onion","","image_needed","No verified local image downloaded; app fallback is used"
"p037","kurkure-masala-munch-75g","Kurkure Masala Munch","","image_needed","No verified local image downloaded; app fallback is used"
"p038","kurkure-green-chutney-75g","Kurkure Green Chutney Rajasthani Style","","image_needed","No verified local image downloaded; app fallback is used"
"p039","bingo-mad-angles-achaari-masti-66g","Bingo! Mad Angles Achaari Masti","","image_needed","No verified local image downloaded; app fallback is used"
"p040","bingo-tedhe-medhe-80g","Bingo! Tedhe Medhe Masala Tadka","","image_needed","No verified local image downloaded; app fallback is used"
"p041","uncle-chipps-spicy-treat-50g","Uncle Chipps Spicy Treat","","image_needed","No verified local image downloaded; app fallback is used"
"p042","too-yumm-multigrain-chips-54g","Too Yumm! Multigrain Chips Dahi Papdi Chaat","","image_needed","No verified local image downloaded; app fallback is used"
"p043","pringles-original-107g","Pringles Original","","image_needed","No verified local image downloaded; app fallback is used"
"p044","doritos-nacho-cheese-70g","Doritos Nacho Cheese","","image_needed","No verified local image downloaded; app fallback is used"
"p045","crax-corn-rings-72g","Crax Corn Rings Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p046","act-ii-butter-popcorn-59g","Act II Instant Popcorn Butter Delite","","image_needed","No verified local image downloaded; app fallback is used"
"p047","cornitos-peri-peri-55g","Cornitos Nacho Crisps Peri Peri","","image_needed","No verified local image downloaded; app fallback is used"
"p048","peppy-cheese-balls-60g","Peppy Cheese Balls","","image_needed","No verified local image downloaded; app fallback is used"
"p049","haldirams-aloo-bhujia-200g","Haldiram's Aloo Bhujia","","image_needed","No verified local image downloaded; app fallback is used"
"p050","haldirams-bhujia-sev-200g","Haldiram's Bhujia Sev","","image_needed","No verified local image downloaded; app fallback is used"
"p051","haldirams-moong-dal-200g","Haldiram's Moong Dal","","image_needed","No verified local image downloaded; app fallback is used"
"p052","haldirams-khatta-meetha-200g","Haldiram's Khatta Meetha","","image_needed","No verified local image downloaded; app fallback is used"
"p053","haldirams-navrattan-200g","Haldiram's Navrattan Mixture","","image_needed","No verified local image downloaded; app fallback is used"
